x y
41.8060 6.4261
42.1405 1.7394
42.4749 8.0793
42.8094 5.6397
43.1438 4.9531
43.4783 7.3845
43.8127 7.3493
44.1472 7.7749
44.4816 2.4184
44.8161 1.2008
45.1505 9.1526
45.4849 2.2160
45.8194 2.8074
46.1538 4.0961
46.4883 9.3474
46.8227 5.4110
47.1572 2.1861
47.4916 1.0608
47.8261 8.6795
48.1605 0.8890
48.4950 2.3965
48.8294 4.7780
49.1639 6.3726
49.4983 4.7009
49.8328 0.0214
50.1672 2.7380
50.5017 6.5146
50.8361 7.7317
51.1706 5.0141
51.5050 5.2073
51.8395 2.4086
52.1739 5.6926
52.5084 8.8704
52.8428 4.1886
53.1773 0.3795
53.5117 8.1269
53.8462 7.7413
54.1806 0.0475
54.5151 0.7080
54.8495 3.8902
55.1839 7.0747
55.5184 7.9797
55.8528 5.7547
56.1873 8.4791
56.5217 9.0512
56.8562 1.8813
57.1906 3.7016
57.5251 0.4336
57.8595 0.0551
58.1940 9.1762
58.5284 4.3343
58.8629 1.2884
59.1973 5.2372
59.5318 9.4591
59.8662 3.6110
60.2007 8.6452
60.5351 7.0857
60.8696 7.3188
61.2040 7.5320
61.5385 9.2172
61.8729 1.1884
62.2074 6.6855
62.5418 3.0312
62.8763 2.3215
63.2107 8.0823
63.5452 9.7543
63.8796 9.9007
64.2140 9.4558
64.5485 3.1305
64.8829 0.0631
65.2174 0.8226
65.5518 0.0965
65.8863 1.9549
66.2207 4.4016
66.5552 5.3368
66.8896 9.2438
67.2241 9.8415
67.5585 9.2280
67.8930 3.8001
68.2274 2.7396
68.5619 6.0073
68.8963 1.5942
69.2308 4.2382
69.5652 6.0304
69.8997 1.0239
70.2341 6.9685
70.5686 9.2155
70.9030 6.1919
71.2375 6.0183
71.5719 1.2412
71.9064 4.6574
72.2408 7.1749
72.5753 5.3581
72.9097 5.3640
73.2441 2.3255
73.5786 6.9252
73.9130 4.4544
74.2475 5.9858
74.5819 7.9557
74.9164 3.8310
75.2508 2.2655
75.5853 5.1490
75.9197 1.6010
76.2542 3.0698
76.5886 6.3641
76.9231 2.5298
77.2575 4.9185
77.5920 6.8045
77.9264 3.0136
78.2609 0.0831
78.5953 6.0968
78.9298 6.4937
79.2642 7.0300
79.5987 6.1008
79.9331 8.8389
80.2676 4.1778
80.6020 2.0641
80.9365 9.3183
81.2709 8.3561
81.6054 3.2519
81.9398 5.9641
82.2742 1.8360
82.6087 4.8532
82.9431 0.8335
83.2776 0.7955
83.6120 6.6058
83.9465 5.7090
84.2809 7.9862
84.6154 9.5947
84.9498 3.5152
85.2843 8.6718
85.6187 9.9198
85.9532 7.0403
86.2876 3.2236
86.6221 0.9546
86.9565 7.7691
87.2910 7.9551
87.6254 9.2994
87.9599 1.1998
88.2943 9.0820
88.6288 5.0188
88.9632 1.0853
89.2977 2.1021
89.6321 5.0200
89.9666 2.5389
90.3010 9.5829
90.6355 4.6947
90.9699 5.0835
91.3043 6.0117
91.6388 1.1744
91.9732 4.7987
92.3077 3.2995
92.6421 2.8451
92.9766 6.4157
93.3110 8.7281
93.6455 5.2672
93.9799 2.7272
94.3144 3.1104
94.6488 9.7496
94.9833 2.4387
95.3177 7.8159
95.6522 2.7489
95.9866 5.5142
96.3211 2.5828
96.6555 2.9464
96.9900 8.8909
97.3244 5.7007
97.6589 9.0214
97.9933 3.9608
98.3278 1.0522
98.6622 6.1496
98.9967 2.4198
99.3311 0.4917
99.6656 4.3795
100.0000 7.1438
